Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
b7c98daa-3a9f-4610-bdaf-6d4c7b2e1664,2020-12-10 05:27:51,Running,,6.91,1:13:39,10:39,5.63,1000.0,92,,"","",2020-12-10-052751.gpx
df690944-b8ee-41d8-8ab2-276b0bbd1858,2020-12-08 05:26:51,Running,,5.48,1:02:53,11:29,5.23,780.0,74,,"","",2020-12-08-052651.gpx
6f4fb406-696d-4f82-865d-b08641fccd2d,2020-12-06 06:28:32,Running,,4.93,53:08,10:47,5.57,711.0,37,,"","",2020-12-06-062832.gpx
3957148c-fba3-460f-ae23-b73c01269059,2020-12-05 05:28:46,Running,,13.20,2:12:32,10:03,5.98,1908.0,173,,"","",2020-12-05-052846.gpx
f3eef441-9bc1-4205-a898-237d67582283,2020-12-03 05:15:11,Running,,6.88,1:10:52,10:18,5.83,994.0,88,,"","",2020-12-03-051511.gpx
20c29638-c64a-43fe-b9de-3d12e1bf24ae,2020-12-01 05:16:25,Running,,6.90,1:11:56,10:26,5.75,996.0,91,,"","",2020-12-01-051625.gpx
d00d477f-7875-4765-b035-8746a24ab80a,2020-11-29 05:34:31,Running,,2.51,27:08,10:49,5.55,361.0,13,,"","",2020-11-29-053431.gpx
b10996e5-a7e6-4c0a-add7-f8d11cdae253,2020-11-26 05:40:23,Running,,9.92,1:49:11,11:00,5.45,1432.0,105,,"","",2020-11-26-054023.gpx
55735984-16f2-4292-9141-11c3a89fbbd5,2020-11-24 05:39:24,Running,,5.45,1:00:03,11:02,5.44,788.0,70,,"","",2020-11-24-053924.gpx
2d8f8057-4177-454b-91f3-472d8c78d2c0,2020-11-22 05:55:36,Running,,6.95,1:17:52,11:12,5.36,1000.0,91,,"","",2020-11-22-055536.gpx
3e0aa0f3-2bfa-4348-af99-f61901288486,2020-11-21 05:43:02,Running,,10.07,1:42:25,10:10,5.90,1456.0,110,,"","",2020-11-21-054302.gpx
1096f3b9-953b-4274-a379-4ce82c659e93,2020-11-18 05:21:28,Running,,6.94,1:10:56,10:14,5.87,1002.0,90,,"","",2020-11-18-052128.gpx
566f54e9-345d-4b5a-b1e7-cb4ad54db36d,2020-11-16 05:32:14,Running,,9.75,1:45:11,10:47,5.56,1411.0,99,,"","",2020-11-16-053214.gpx
480988ff-4315-4be9-bdf8-3a948fef7357,2020-11-14 05:34:10,Running,,6.93,1:14:50,10:48,5.56,1002.0,89,,"","",2020-11-14-053410.gpx
7519869c-bead-46b3-a729-f3167d4a0eb5,2020-11-12 05:16:35,Running,,6.90,1:12:31,10:31,5.71,1002.0,90,,"","",2020-11-12-051635.gpx
8d87e671-f5e1-45fa-bffd-ead15f292d61,2020-11-10 05:27:41,Running,,4.45,47:55,10:46,5.57,647.0,66,,"","",2020-11-10-052741.gpx
ca1e7ed8-9829-4dca-8344-9f1bc3b968d2,2020-11-07 06:15:40,Running,,6.94,1:15:41,10:54,5.50,1002.0,89,,"","",2020-11-07-061540.gpx
0649bf3f-b8b7-46d3-9ea0-734ae4173737,2020-11-06 11:28:08,Running,,3.97,42:27,10:42,5.61,571.0,31,,"","",2020-11-06-112808.gpx
63e01a55-b82f-423e-aed9-4451f6944b5a,2020-11-05 05:17:45,Running,,6.94,1:13:33,10:36,5.66,998.0,91,,"","",2020-11-05-051745.gpx
542b5f9e-78a2-462f-a037-344c53572f0a,2020-11-03 05:27:55,Running,,4.52,51:55,11:29,5.22,640.0,35,,"","",2020-11-03-052755.gpx
a0fc098c-c566-4575-af08-b52cf1359d92,2020-11-01 05:28:42,Running,,13.10,2:21:08,10:46,5.57,1884.0,160,,"","",2020-11-01-052842.gpx
ba742958-7801-423e-917a-2ea4347e3a55,2020-10-29 05:22:46,Running,,12.35,2:13:00,10:46,5.57,1790.0,156,,"","",2020-10-29-052246.gpx
8b93954f-5a2d-460a-a6fe-7308d0a1960e,2020-10-27 05:12:22,Running,,6.93,1:18:54,11:23,5.27,995.0,91,,"","",2020-10-27-051222.gpx
90519cd0-7c35-4a01-aee1-94e1db50bed0,2020-10-25 05:55:58,Running,,6.93,1:18:21,11:18,5.31,988.0,91,,"","",2020-10-25-055558.gpx
a85e07d6-1d96-4cc0-8615-f1a453a7b29a,2020-10-24 05:16:46,Running,,5.42,1:05:33,12:05,4.96,751.0,75,,"","",2020-10-24-051646.gpx
daf3a0e6-34a3-4c81-bac7-fb6f7a084e38,2020-10-22 11:37:47,Running,,6.89,1:09:59,10:09,5.91,993.0,90,,"","",2020-10-22-113747.gpx
4bba8cf0-a3a0-453e-86cb-37eba8907b55,2020-10-20 05:04:18,Running,,6.88,1:08:36,9:58,6.02,994.0,88,,"","",2020-10-20-050418.gpx
3486750d-30f9-4486-827b-aca19915b9c6,2020-10-18 05:10:27,Running,,12.08,2:07:54,10:35,5.67,1739.0,151,,"","",2020-10-18-051027.gpx
378c3561-493b-465e-8450-95566b1e05a3,2020-10-15 05:10:06,Running,,6.94,1:17:27,11:09,5.38,990.0,87,,"","",2020-10-15-051006.gpx
3e895c65-b606-47fa-98a7-14ed994bb21e,2020-10-12 05:37:27,Running,,11.81,2:07:56,10:50,5.54,1698.0,153,,"","",2020-10-12-053727.gpx
45724cfd-794f-467d-a60f-5b2bd2a7f772,2020-10-10 05:38:54,Running,,11.52,2:05:51,10:55,5.49,1650.0,147,,"","",2020-10-10-053854.gpx
93166fd4-4fe2-4fdc-9312-4b3a18e6766e,2020-10-08 05:14:44,Running,,6.94,1:16:06,10:58,5.47,993.0,85,,"","",2020-10-08-051444.gpx
25dc39d0-c1cd-4e2b-8a9d-886db2ead354,2020-10-06 05:24:22,Running,,5.50,1:02:00,11:16,5.32,784.0,75,,"","",2020-10-06-052422.gpx
7bb1d962-c4c6-4aed-b6a9-f4e80159a9f0,2020-10-04 06:10:44,Running,,9.95,1:47:33,10:48,5.55,1430.0,107,,"","",2020-10-04-061044.gpx
09d796ea-3a83-4a01-85f1-9b1739e0ac12,2020-10-03 06:53:10,Running,,5.50,1:03:49,11:37,5.17,784.0,73,,"","",2020-10-03-065310.gpx
f702a810-1465-4da3-8403-d764fd6c30dc,2020-10-01 05:10:03,Running,,6.96,1:17:47,11:10,5.37,1000.0,89,,"","",2020-10-01-051003.gpx
c6bb2281-4289-4218-98d9-9a93f065e00c,2020-09-29 05:19:47,Running,,6.94,1:18:23,11:18,5.31,978.0,91,,"","",2020-09-29-051947.gpx
35d1e3e6-f289-4174-af31-9586ef819b9d,2020-09-27 06:05:59,Running,,5.93,1:11:34,12:04,4.97,812.0,49,,"","",2020-09-27-060559.gpx
